Date,HD,DIS,MSFT,BA,MMM,PFE,NKE,JNJ,MCD,INTC,XOM,GS,JPM,AXP,V,IBM,UNH,PG,GE,KO,CSCO,CVX,CAT,MRK,WMT,VZ,RTX,TRV,AAPL,ADBE,EBAY,QCOM,HPQ,JNPR,AMD
2015-12-17,131.35000610351562,112.01000213623047,55.70000076293945,145.55999755859375,148.85000610351562,30.67362403869629,65.11000061035156,103.63999938964844,117.5,34.90999984741211,77.95999908447266,182.61000061035156,66.27999877929688,69.56999969482422,78.69000244140625,130.73614501953125,119.22000122070312,80.29000091552734,235.0,43.4900016784668,26.719999313354492,90.54000091552734,64.9000015258789,50.24809265136719,58.97999954223633,46.099998474121094,59.07489013671875,113.2699966430664,27.2450008392334,94.19999694824219,28.049999237060547,47.540000915527344,11.899999618530273,29.110000610351562,2.559999942779541
2015-12-18,130.2899932861328,107.72000122070312,54.130001068115234,139.5800018310547,146.9199981689453,30.351043701171875,64.26000213623047,101.94999694824219,116.66000366210938,33.869998931884766,77.27999877929688,175.49000549316406,64.4000015258789,67.87000274658203,76.31999969482422,128.96749877929688,115.81999969482422,78.12999725341797,232.92308044433594,42.5,26.270000457763672,89.80999755859375,65.11000061035156,49.274810791015625,58.849998474121094,45.560001373291016,58.11201858520508,110.12999725341797,26.50749969482422,91.30999755859375,27.459999084472656,47.43000030517578,11.510000228881836,28.68000030517578,2.450000047683716
2015-12-21,131.30999755859375,106.58999633789062,54.83000183105469,140.89999389648438,147.47999572753906,30.796964645385742,64.9000015258789,101.58000183105469,117.69000244140625,34.2400016784668,77.26000213623047,177.75,65.54000091552734,68.4000015258789,77.16999816894531,129.54110717773438,117.41000366210938,78.94999694824219,233.84616088867188,42.779998779296875,26.639999389648438,89.23999786376953,65.23999786376953,49.4942741394043,59.54999923706055,45.900001525878906,58.9112663269043,110.94000244140625,26.832500457763672,91.62000274658203,27.59000015258789,48.7599983215332,11.430000305175781,27.25,2.5299999713897705
2015-12-22,131.8800048828125,106.73999786376953,55.349998474121094,142.3800048828125,148.97000122070312,30.85388946533203,65.92500305175781,102.70999908447266,117.72000122070312,34.72999954223633,77.6500015258789,180.0500030517578,65.68000030517578,68.8499984741211,77.37999725341797,131.86424255371094,117.44000244140625,79.5999984741211,234.53846740722656,43.290000915527344,26.889999389648438,90.2699966430664,68.41000366210938,49.713741302490234,60.540000915527344,46.34000015258789,59.70421600341797,112.4800033569336,26.8075008392334,93.81999969482422,27.889999389648438,49.06999969482422,11.65999984741211,27.510000228881836,2.7699999809265137
2015-12-23,133.11000061035156,105.55999755859375,55.81999969482422,144.05999755859375,151.16000366210938,30.891841888427734,64.3550033569336,103.48999786376953,118.80000305175781,35.0,80.19000244140625,182.9499969482422,66.7300033569336,69.97000122070312,78.55999755859375,132.44741821289062,118.69000244140625,79.91999816894531,238.07691955566406,43.66999816894531,27.399999618530273,93.80999755859375,69.88999938964844,50.553436279296875,61.09000015258789,46.95000076293945,60.60415267944336,113.20999908447266,27.15250015258789,94.69999694824219,27.780000686645508,49.040000915527344,11.75,27.649999618530273,2.8299999237060547
2015-12-24,132.89999389648438,105.86000061035156,55.66999816894531,143.52999877929688,151.19000244140625,30.948766708374023,63.18000030517578,103.72000122070312,118.56999969482422,34.97999954223633,79.33000183105469,182.47000122070312,66.5999984741211,70.16000366210938,78.26000213623047,132.170166015625,118.33999633789062,79.79000091552734,237.15383911132812,43.540000915527344,27.3799991607666,92.05000305175781,69.37999725341797,50.42938995361328,60.83000183105469,46.709999084472656,60.60415267944336,113.2699966430664,27.00749969482422,94.30000305175781,27.65999984741211,49.54999923706055,11.729999542236328,27.6200008392334,2.9200000762939453
2015-12-28,132.67999267578125,107.25,55.95000076293945,144.5399932861328,151.22000122070312,30.75901222229004,63.810001373291016,103.22000122070312,118.75,34.93000030517578,78.73999786376953,181.6199951171875,66.37999725341797,69.76000213623047,78.52999877929688,131.55831909179688,118.33000183105469,79.91999816894531,237.6923065185547,43.4900016784668,27.309999465942383,90.36000061035156,68.58000183105469,50.41984558105469,60.75,46.75,60.47199630737305,113.4800033569336,26.704999923706055,94.19999694824219,27.639999389648438,49.58000183105469,11.630000114440918,27.709999084472656,3.0
2015-12-29,133.6999969482422,107.08000183105469,56.54999923706055,147.35000610351562,152.88999938964844,31.148008346557617,64.26000213623047,104.02999877929688,120.06999969482422,35.439998626708984,79.16000366210938,183.52999877929688,67.06999969482422,70.55000305175781,79.20999908447266,133.6328887939453,119.81999969482422,80.36000061035156,240.61538696289062,43.709999084472656,27.770000457763672,91.25,69.19000244140625,50.89694595336914,61.61000061035156,47.209999084472656,61.214599609375,115.0199966430664,27.184999465942383,95.33000183105469,27.90999984741211,50.880001068115234,11.859999656677246,28.040000915527344,3.0
2015-12-30,133.35000610351562,106.33999633789062,56.310001373291016,146.41000366210938,151.91000366210938,31.072105407714844,63.25,103.77999877929688,119.43000030517578,34.9900016784668,78.11000061035156,182.00999450683594,66.58999633789062,70.16000366210938,78.3499984741211,133.2122344970703,118.91999816894531,80.06999969482422,238.84616088867188,43.56999969482422,27.530000686645508,90.08999633789062,68.69000244140625,50.81106948852539,61.68000030517578,46.77000045776367,60.98175048828125,114.29000091552734,26.829999923706055,95.27999877929688,27.75,50.40999984741211,11.84000015258789,27.709999084472656,2.9800000190734863
2015-12-31,132.25,105.08000183105469,55.47999954223633,144.58999633789062,150.63999938964844,30.62618637084961,62.5,102.72000122070312,118.13999938964844,34.45000076293945,77.94999694824219,180.22999572753906,66.02999877929688,69.55000305175781,77.55000305175781,131.56787109375,117.63999938964844,79.41000366210938,239.61538696289062,42.959999084472656,27.15999984741211,89.95999908447266,67.95999908447266,50.40076446533203,61.29999923706055,46.220001220703125,60.459407806396484,112.86000061035156,26.315000534057617,93.94000244140625,27.479999542236328,49.9900016784668,11.84000015258789,27.600000381469727,2.869999885559082
